전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),,,,,,
2734,논현,Nonhyeon,수도권 7호선,732,??,ノンヒョン,,,,,,
2735,반포,Banpo,수도권 7호선,733,?浦,パンポ,,,,,,
2736,고속터미널,Express Bus Terminal,수도권 7호선,734,高速巴士客?站,コソクタ?ミナル,,,,,,
2737,내방,Naebang,수도권 7호선,735,內方,ネバン,,,,,,
2738,이수,Isu,수도권 7호선,736,梨水,イス,,,,,,
2739,남성,Namseong,수도권 7호선,737,南城,ナムソン,,,,,,
2740,숭실대입구(살피재),Soongsil Univ.,수도권 7호선,738,崇?大?(?毗?),スンシルデイック,,,,,,
2741,상도,Sangdo,수도권 7호선,739,上道,サンド,,,,,,
2742,장승배기,Jangseungbaegi,수도권 7호선,740,?丞拜基,チャンスンベギ,,,,,,
2743,신대방삼거리,Sindaebang  samgeori,수도권 7호선,741,新大方丁字路口,シンデバンサムゴリ,,,,,,
2744,보라매,Boramae,수도권 7호선,742,波拉美,ポラメ,,,,,,
2745,신풍,Sinpung,수도권 7호선,743,新_,シンプン,,,,,,
2746,대림(구로구청),Daerim,수도권 7호선,744,大林,テリム,,,,,,
2747,남구로,Namguro,수도권 7호선,745,南九老,ナムグロ,,,,,,
2748,가산디지털단지,Gasan Digital Complex,수도권 7호선,746,加山????,カサン·デジタルダンジ,,,,,,
2749,철산,Cheolsan,수도권 7호선,747,?山,チョルサン,,,,,,
2750,광명사거리,Gwangmyeongsageori,수도권 7호선,748,光明十字路口,クァンミョンサゴリ,,,,,,
2751,천왕,Cheonwang,수도권 7호선,749,天旺,チョヌァン,,,,,,
2752,온수(성공회대입구),Onsu,수도권 7호선,750,?水,オンス,,,,,,
3753,까치울,Kkachiul,수도권 7호선,751,喜?屋,カチウル,,,,,,
3754,부천종합운동장,Bucheon Stadium,수도권 7호선,752,富川?合???,プチョンジョンハブンドンジャン,,,,,,
3755,춘의,Chunui,수도권 7호선,753,春衣,チュニ,,,,,,
3756,신중동,Sinjung-dong,수도권 7호선,754,新中洞,シンジュンドン,,,,,,
3757,부천시청,Bucheon City Hall,수도권 7호선,755,富川市?,プチョンシチョン,,,,,,
3758,상동,Sang-dong,수도권 7호선,756,上洞,サンドン,,,,,,
3759,삼산체육관,Samsan Gymnasium,수도권 7호선,757,三山?育?,サムサン·チェユックァン,,,,,,
3760,굴포천,Gulpocheon,수도권 7호선,758,掘浦川,クルポチョン,,,,,,
3761,부평구청,Bupyeong-gu Office,수도권 7호선,759,富平??,プピョングチョン,,,,,,
3762,산곡,Sangok,수도권 7호선,760,山谷,サンゴク,,,,,,
3763,석남(거북시장),Seongnam,수도권 7호선,761,石南,石南,,,,,,
2811,암사,Amsa,수도권 8호선,810,岩寺,アムサ,,,,,,
2812,천호(풍납토성),Cheonho,수도권 8호선,811,千戶,チョンホ,,,,,,
2813,강동구청,Gangdong-gu Office,수도권 8호선,812,江???,カンドングチョン,,,,,,
2814,몽촌토성(평화의문),Mongchontoseong,수도권 8호선,813,?村土城,モンチョントソン,,,,,,
2815,잠실(송파구청),Jamsil,수도권 8호선,814,_室,チャムシル,,,,,,
2816,석촌,Seokchon,수도권 8호선,815,石村,ソクチョン,,,,,,
2817,송파,Songpa,수도권 8호선,816,松坡,ソンパ,,,,,,
2818,가락시장,Garak Market,수도권 8호선,817,可?市?,カラク·シジャン,,,,,,
2819,문정,Munjeong,수도권 8호선,818,文井,ムンジョン,,,,,,
2820,장지,Jangji,수도권 8호선,819,?旨,チャンジ,,,,,,
2821,복정,Bokjeong,수도권 8호선,820,福井,ポクチョン,,,,,,
2828,남위례,Namwirye,수도권 8호선,821,南慰?,ナムィレ,,,,,,
2822,산성,Sanseong,수도권 8호선,822,山城,サンソン,,,,,,
2823,남한산성입구(성남법원.검찰청),Namhansanseong,수도권 8호선,823,南?山城,ナムハンサンソンイック,,,,,,
2824,단대오거리,Dandaeogeori,수도권 8호선,824,丹垈五?路口,タンデオゴリ,,,,,,
2825,신흥,Sinheung,수도권 8호선,825,新?,シンフン,,,,,,
2826,수진,Sujin,수도권 8호선,826,??,スジン,,,,,,
2827,모란,Moran,수도권 8호선,827,牡丹,モラン,,,,,,
4101,개화,Gaehwa,수도권 9호선,901,開化,ケファ,,,,,,
4102,김포공항,Gimpo Intl. Airport,수도권 9호선,902,金浦机?,キンポゴンハン,,,,,,
4103,공항시장,Airport Market,수도권 9호선,903,空港市?,コンハンシジャン,,,,,,
4104,신방화,Sinbanghwa,수도권 9호선,904,新傍花,シンバンファ,,,,,,
4105,마곡나루,Magongnaru,수도권 9호선,905,麻谷渡口,マゴンナル,,,,,,
4106,양천향교,Yangcheon Hyanggyo,수도권 9호선,906,?川?校,ヤンチョンヒャンギョ,,,,,,
4107,가양,Gayang,수도권 9호선,907,加?,カヤン,,,,,,
4108,증미,Jeungmi,수도권 9호선,908,曾米,チュンミ,,,,,,
4109,등촌,Deungchon,수도권 9호선,909,登村,トゥンチョン,,,,,,
4110,염창,Yeomchang,수도권 9호선,910,??,ヨムチャン,,,,,,
4111,신목동,Sinmokdong,수도권 9호선,911,新木洞,シンモクトン,,,,,,
4112,선유도,Seonyudo,수도권 9호선,912,仙游?,ソニュド,,,,,,
4113,당산,Dangsan,수도권 9호선,913,堂山,タンサン,,,,,,
4114,국회의사당,National Assembly,수도권 9호선,914,???事堂,ククェウィサダン,,,,,,
4115,여의도,Yeouido,수도권 9호선,915,汝矣?,ヨイド,,,,,,
4116,샛강,Saetgang,수도권 9호선,916,?江,セッカン,,,,,,
4117,노량진,Noryangjin,수도권 9호선,917,?梁津,ノリャンジン,,,,,,
4118,노들,Nodeul,수도권 9호선,918,?得,ノドゥル,,,,,,
4119,흑석(중앙대입구),Heukseok,수도권 9호선,919,黑石,フッソク,,,,,,
4120,동작(현충원),Dongjak,수도권 9호선,920,?雀,トンジャク,,,,,,
4121,구반포,Gubanpo,수도권 9호선,921,??浦,クバンポ,,,,,,
4122,신반포,Sinbanpo,수도권 9호선,922,新?浦,シンバンポ,,,,,,
4123,고속터미널,Express Bus Terminal,수도권 9호선,923,高速巴士客?站,コソクタ?ミナル,,,,,,
4124,사평,Sapyeong,수도권 9호선,924,砂平,サピョン,,,,,,
4125,신논현,Sinnonhyeon,수도권 9호선,925,新??,シンノンヒョン,,,,,,
4126,언주,Eonju,수도권 9호선,926,彦州,オンジュ,,,,,,
4127,선정릉,Seonjeongneung,수도권 9호선,927,宣靖陵,ソンジョンヌン,,,,,,
4128,삼성중앙,Samseong Jungang,수도권 9호선,928,三成中央,サムソン·チュンアン,,,,,,
4129,봉은사,Bongeunsa,수도권 9호선,929,奉恩寺,ポンウンサ,,,,,,
4130,종합운동장,Sports Complex,수도권 9호선,930,?合???,チョンハブンドンジャン,,,,,,
4131,삼전,Samjeon,수도권 9호선,931,三田,サムジョン,,,,,,
4132,석촌고분,Seokchon Gobun,수도권 9호선,932,石村古?,ソクチョンコブン,,,,,,
4133,석촌,Seokchon(Hansol Hospital),수도권 9호선,933,石村,ソクチョン,,,,,,
4134,송파나루,Songpanaru,수도권 9호선,934,松坡渡口,ソンパナル,,,,,,
4135,한성백제,Hanseong Baekje,수도권 9호선,935,?城百?,ハンソンベクチェ,,,,,,
4136,올림픽공원(한국체대),Olympic Park,수도권 9호선,936,?林匹克公?,オリンピックゴンウォン,,,,,,1111
4137,둔촌오륜,Dunchon Oryun,수도권 9호선,937,遁村五?,トゥンチョノリュン,,,,,,
4138,중앙보훈병원,VHS Medical Center,수도권 9호선,938,中央???院,チュンアンボフンビョンウォン,,,,,,
4701,북한산우이,Bukhansan Ui,수도권 우이신설경전철,941,北漢山牛耳,プカンサンウイ,,,,,,
4702,솔밭공원,Solbat Park,수도권 우이신설경전철,942,松林公園,ソルバッコンウォン,,,,,,
4703,4.19민주묘지,April 19th National Cemetery,수도권 우이신설경전철,943,四一九民主墓地,サ.イルグミンジュミョジ,,,,,,
4704,가오리,Gaori,수도권 우이신설경전철,944,加五里,カオリ,,,,,,
4705,화계,Hwagye,수도권 우이신설경전철,945,華溪,ファゲ,,,,,,
4706,삼양,Samyang,수도권 우이신설경전철,946,三陽,サミャン,,,,,,
4707,삼양사거리,Samyang Sageori,수도권 우이신설경전철,947,三?十字路口,サミャンサゴリ,,,,,,
4708,솔샘,Solsaem,수도권 우이신설경전철,948,松泉,ソルセム,,,,,,
4709,북한산보국문,Bukhansan Bogungmun,수도권 우이신설경전철,949,北漢山輔國門,プカンサンボグンムン,,,,,,
4710,정릉,Jeongneung,수도권 우이신설경전철,950,貞陵,チョンヌン,,,,,,
4711,성신여대입구(돈암),Sungshin Women`s Univ.,수도권 우이신설경전철,951,誠信女大入口,誠信女大入口,,,,,,
4712,보문,Bomun,수도권 우이신설경전철,952,普門,ポムン,,,,,,
4713,신설동,Sinseoldong,수도권 우이신설경전철,953,新 設 洞,シンソルトン,,,,,,
1265,가좌,Gajwa,경의중앙선,1021,加佐,カジュア,,,,,,
1269,강매,Gangmae,경의중앙선,1017,江梅,カンメ,,,,,,
1272,곡산,Goksan,경의중앙선,1013,谷山,コッサン,,,,,,
1262,공덕,Gongdeok,경의중앙선,1024,孔德,コンドク,,,,,,
1205,구리,Guri,경의중앙선,1039,九里,クリ,,,,,,
1214,국수,Guksu,경의중앙선,1048,菊秀,クッス,,,,,,
1279,금릉,Geum  neung,경의중앙선,1006,金陵,クムヌン,,,,,,
1280,금촌,Geumchon,경의중앙선,1005,金村,クムチョン,,,,,,
1271,능곡,Neunggok,경의중앙선,1015,陵谷,ヌンゴク,,,,,,
300,대곡,Daegok,경의중앙선,1014,大谷,テゴク,,,,,,
1208,덕소,Deokso,경의중앙선,1042,德沼,トッソ,,,,,,
1206,도농,Donong,경의중앙선,1040,陶?,トノン,,,,,,
1209,도심,Dosim,경의중앙선,1043,陶深,トシム,,,,,,
1266,디지털미디어시티,Digital Media City,경의중앙선,1020,??媒?城,デジタルメディアシティ,,,,,,
1203,망우,Mangu,경의중앙선,1037,忘?,マンウ,,,,,,
1284,문산,Munsan,경의중앙선,1002,汶山,ムンサン,,,,,,
1273,백마,Baengma,경의중앙선,1012,白?,ペンマ,,,,,,
1202,상봉(시외버스터미널),Sangbong,경의중앙선,1036,上?,サンボン,,,,,,
1263,서강대,Sogang Univ.,경의중앙선,1023,西江大,ソガンデ,,,,,,
1009,서빙고,Seobinggo,경의중앙선,1028,西??,ソビンゴ,,,,,,
1251,서울역,Seoul Station,경의중앙선,1056,首爾站,ソウル,,,,,,
1267,수색,Susaek,경의중앙선,1019,水色,スセク,,,,,,
1213,신원,Sinwon,경의중앙선,1047,新院,シヌォン,,,,,,
1252,신촌,Sinchon,경의중앙선,1055,新村,シンチョン,,,,,,
1215,아신,Asin,경의중앙선,1049,我新,アシン,,,,,,
1277,야당,Yadang,경의중앙선,1008,野塘,ヤダン,,,,,,
1212,양수,Yangsu,경의중앙선,1046,兩水,ヤンス,,,,,,
1204,양원,Yangwon,경의중앙선,1038,?源,ヤンウォン,,,,,,
1207,양정,Yangjeong,경의중앙선,1041,?正,ヤンジョン,,,,,,
1217,양평,Yangpyeong,경의중앙선,1051,?平,ヤンピョン,,,,,,
1216,오빈,Obin,경의중앙선,1050,梧?,オビン,,,,,,
1011,옥수,Oksu,경의중앙선,1030,玉水,オッス,,,,,,
1013,왕십리(성동구청),Wangsimni,경의중앙선,1032,往十里,ワンシムニ,,,,,,
1219,용문,Yongmun,경의중앙선,1053,??,ヨンムン,,,,,,
100C,용산,Yongsan,경의중앙선,1026,?山,ヨンサン,,,,,,
1211,운길산,Ungilsan,경의중앙선,1045,云吉山,ウンギルサン,,,,,,
1278,운정,Unjeong,경의중앙선,1007,云井,ウンジョン,,,,,,
1286,운천,Uncheon,경의중앙선,1001,云泉,ウンチョン,,,,,,
1218,원덕,Wondeok,경의중앙선,1052,元德,ウォンドク,,,,,,
1282,월롱,Wollong,경의중앙선,1004,月?,ウォルロン,,,,,,
1012,응봉,Eungbong,경의중앙선,1031,?峰,ウンボン,,,,,,
1008,이촌(국립중앙박물관),Ichon,경의중앙선,1027,二村,イチョン,,,,,,
1275,일산,Ilsan,경의중앙선,1010,一山,イルサン,,,,,,
1285,임진강,Imjingang,경의중앙선,1000,臨津江,イムジンガン,,,,,,
1201,중랑,Jungnang,경의중앙선,1035,中浪,チュンナン,,,,,,
1220,지평,Jipyeong,경의중앙선,1054,砥平,チピョン,,,,,,
1014,청량리(서울시립대입구),Cheongnyangni,경의중앙선,1033,?凉里,チョンニャンニ,,,,,,
1276,탄현,Tanhyeon,경의중앙선,1009,炭?,タンヒョン,,,,,,
1283,파주,Paju,경의중앙선,1003,坡州,パジュ,,,,,,
1210,팔당,Paldang,경의중앙선,1044,八堂,パルタン,,,,,,
1274,풍산,Pungsan,경의중앙선,1011,?山,プンサン,,,,,,
1268,한국항공대,Korea Aerospace Univ.,경의중앙선,1018,??航空大?,ハングクハンゴンデ,,,,,,
1010,한남,Hannam,경의중앙선,1029,?南,ハンナム,,,,,,
1270,행신,Haengsin,경의중앙선,1016,幸信,ヘンシン,,,,,,
1264,홍대입구,Hongik Univ.,경의중앙선,1022,弘益大?,ホンデイック,,,,,,
101C,회기,Hoegi,경의중앙선,1034,回基,フェギ,,,,,,
1261,효창공원앞,Hyochang Park,경의중앙선,1025,孝昌公?,ヒョチャンゴンウォンアプ,,,,,,
1501,판교,Pangyo,수도권 경강선,1100,板橋,,,,,,,
1502,이매,Imae,수도권 경강선,1101,二梅,,,,,,,
1503,삼동,Samdong,수도권 경강선,1102,三洞,,,,,,,
1504,경기광주,GyeonggiGwangju,수도권 경강선,1103,京畿廣州,,,,,,,
1505,초월,Chowol,수도권 경강선,1104,草月,,,,,,,
1506,곤지암,Gonjiam,수도권 경강선,1105,昆池岩,,,,,,,
1507,신둔도예촌,Sindundoyechon,수도권 경강선,1106,新屯陶藝村,,,,,,,
1508,이천,Icheon,수도권 경강선,1107,利川,,,,,,,
1509,부발,Bubal,수도권 경강선,1108,夫鉢,,,,,,,
1510,세종대왕릉,Sejongdaewangneung,수도권 경강선,1109,世宗大王陵,,,,,,,
1511,여주,Yeoju,수도권 경강선,1110,驪州,,,,,,,
1845,청량리,Cheongnyangni,수도권 수인.분당선,1200,?凉里,チョンニャンニ,,,,,,
102C,왕십리,Wangsimni,수도권 수인.분당선,1201,往十里,ワンシムニ,,,,,,
1847,서울숲,Seoul-forest,수도권 수인.분당선,1202,首?林,ソウルスプ,,,,,,
1848,압구정로데오,Apgujeong rodeo,수도권 수인.분당선,1203,狎?亭?德?,アックジョンロデオ,,,,,,
1849,강남구청,Gangnam-gu Office,수도권 수인.분당선,1204,江南??,カンナムグチョン,,,,,,
1850,선정릉,Seonjeongneung,수도권 수인.분당선,1205,宣靖陵,ソンジョンヌン,,,,,,
1023,선릉,Seolleung,수도권 수인.분당선,1206,宣陵,ソンルン,,,,,,
1024,한티,Hanti,수도권 수인.분당선,1207,?堤,ハンティ,,,,,,
1025,도곡,Dogok,수도권 수인.분당선,1208,道谷,トゴク,,,,,,
1026,구룡,Guryong,수도권 수인.분당선,1209,九?,クリョン,,,,,,
1027,개포동,Gaepo-dong,수도권 수인.분당선,1210,?浦洞,ケポドン,,,,,,
1028,대모산입구,Daemosan,수도권 수인.분당선,1211,大母山,テモサンイック,,,,,,
1030,수서,Suseo,수도권 수인.분당선,1212,水西,スソ,,,,,,
1031,복정,Bokjeong,수도권 수인.분당선,1213,福井,ポクチョン,,,,,,
1851,가천대,Gachon Univ.,수도권 수인.분당선,1214,嘉泉大?,カチョンデ,,,,,,
1852,태평,Taepyeong,수도권 수인.분당선,1215,太平,テピョン,,,,,,
1853,모란,Moran,수도권 수인.분당선,1216,牡丹,モラン,,,,,,
1854,야탑,Yatap,수도권 수인.분당선,1217,野塔,ヤタプ,,,,,,
1860,이매,Imae,수도권 수인.분당선,1218,二梅,イメ,,,,,,
1855,서현,Seohyeon,수도권 수인.분당선,1219,??,ソヒョン,,,,,,
1856,수내,Sunae,수도권 수인.분당선,1220,??,スネ,,,,,,
1857,정자,Jeongja,수도권 수인.분당선,1221,亭子,チョンジャ,,,,,,
1858,미금,Migeum,수도권 수인.분당선,1222,美金,ミグム,,,,,,
1859,오리,Ori,수도권 수인.분당선,1223,梧里,オリ,,,,,,
1862,죽전,Jukjeon,수도권 수인.분당선,1224,竹田,チュクチョン,,,,,,
1861,보정,Bojeong,수도권 수인.분당선,1225,?亭,ポジョン,,,,,,
1863,구성,Guseong,수도권 수인.분당선,1226,?城,クソン,,,,,,
1864,신갈,Singal,수도권 수인.분당선,1227,新葛,シンガル,,,,,,
1865,기흥,Giheung,수도권 수인.분당선,1228,器?,キフン,,,,,,
1866,상갈,Sanggal,수도권 수인.분당선,1229,上葛,サンガル,,,,,,
1867,청명,Cheongmyeong,수도권 수인.분당선,1230,?明,チョンミョン,,,,,,
1868,영통,Yeongtong,수도권 수인.분당선,1231,?通,ヨントン,,,,,,
1869,망포,Mangpo,수도권 수인.분당선,1232,?浦,マンポ,,,,,,
1870,매탄권선,MaetanGwonseon,수도권 수인.분당선,1233,梅?,メタン,,,,,,
1871,수원시청,Suwon City Hall,수도권 수인.분당선,1234,水原市?,スウォンシチョン,,,,,,
1872,매교,Maegyo,수도권 수인.분당선,1235,梅?,メギョ,,,,,,
1846,수원,Suwon,수도권 수인.분당선,1236,水原,スウォン,,,,,,
1873,고색,Gosaek,수도권 수인.분당선,1237,古索,ゴセク,,,,,,
1874,오목천,Omokcheon,수도권 수인.분당선,1238,梧木川,オモックチョン,,,,,,
1875,어천,Eocheon,수도권 수인.분당선,1239,漁川,オチョン,,,,,,
1876,야목,Yamok,수도권 수인.분당선,1240,野牧,ヤモク,,,,,,
1877,사리,Sari,수도권 수인.분당선,1241,四里,サリ,,,,,,
1830,한대앞,Hanyang Univ. at Ansan,수도권 수인.분당선,1242,??大?,ハンデアプ,,,,,,
1831,중앙,Jungang,수도권 수인.분당선,1243,中央,チュンアン,,,,,,
1832,고잔,Gojan,수도권 수인.분당선,1244,古?,コジャン,,,,,,
1833,초지,Choji,수도권 수인.분당선,1245,草芝,チョジ,,,,,,
1834,안산,Ansan,수도권 수인.분당선,1246,安山,アンサン,,,,,,
1835,신길온천,Neunggil,수도권 수인.분당선,1247,新吉?泉,シンギル·オンチョン,,,,,,
1836,정왕,Jeongwang,수도권 수인.분당선,1248,正往,チョンワン,,,,,,
1800,오이도,Oido,수도권 수인.분당선,1249,?耳?,オイド,,,,,,
1878,달월,Dalwol,수도권 수인.분당선,1250,達月,タロル,,,,,,
1879,월곶,Wolgot,수도권 수인.분당선,1251,月串,ウォルゴッ,,,,,,
1880,소래포구,Soraepogu,수도권 수인.분당선,1252,??浦口,ソレポグ,,,,,,
1881,인천논현,Incheon Nonhyeon,수도권 수인.분당선,1253,仁川??,インチョンノンヒョン,,,,,,
1882,호구포,Hogupo,수도권 수인.분당선,1254,虎口浦,ホグポ,,,,,,
1883,남동인더스파크,Namdong Induspark,수도권 수인.분당선,1255,南洞???地,ナムドン·インドスパ?ク,,,,,,
1884,원인재,Woninjae,수도권 수인.분당선,1256,源仁?,ウォニンジェ,,,,,,
1885,연수,Yeonsu,수도권 수인.분당선,1257,延?,ヨンス,,,,,,
1886,송도,Songdo,수도권 수인.분당선,1258,松?,ソンド,,,,,,
1888,인하대,Inha Univ.,수도권 수인.분당선,1259,仁荷大??,インハデ,,,,,,
1889,숭의,Sungui,수도권 수인.분당선,1260,崇??,スンイ,,,,,,
1890,신포,Sinpo,수도권 수인.분당선,1261,新浦,シンポ,,,,,,
1891,인천,Incheon,수도권 수인.분당선,1262,仁川,インチョン,,,,,,
4304,신사,Sinsa,수도권 신분당선,1300,新沙,シンサ,,,,,,
4305,논현,Nonhyeon,수도권 신분당선,1301,??,ノンヒョン,,,,,,
4306,신논현,Sinnonhyeon,수도권 신분당선,1302,江南,カンナム,,,,,,
4307,강남,Gangnam,수도권 신분당선,1303,江南,カンナム,,,,,,
4308,양재(서초구청),Yangjae,수도권 신분당선,1304,良才,ヤンジェ,,,,,,
4309,양재시민의숲(매헌),Yangjae Citizen's Forest,수도권 신분당선,1305,良才市民之林,ヤンジェ·シミネスプ,,,,,,
4310,청계산입구,Cheonggyesan,수도권 신분당선,1306,淸溪山入口,チョンゲサンイック,,,,,,
4311,판교,Pangyo,수도권 신분당선,1307,板橋,パンギョ,,,,,,
4312,정자,Jeongja,수도권 신분당선,1308,亭子,チョンジャ,,,,,,
4313,미금,Migeum,수도권 신분당선,1309,美金,ミグム,,,,,,
4314,동천,Dongcheon,수도권 신분당선,1310,東川,トンチョン,,,,,,
4315,수지구청,Suji-gu office,수도권 신분당선,1311,水枝區廳,スヅグチョン,,,,,,
4316,성복,Seongbok,수도권 신분당선,1312,星福,ソンボク,,,,,,
4317,상현,Sanghyeon,수도권 신분당선,1313,上峴,サンヒョン,,,,,,
4318,광교중앙(아주대),GwanggyoJungang,수도권 신분당선,1314,光敎中央,クァンギョジュンアン,,,,,,
4319,광교(경기대),Gwanggyo,수도권 신분당선,1315,光敎,クァンギョ,,,,,,
108C,일산,Ilsan,수도권 서해선(대곡-원시),1400,一山,一山,,,,,,
107C,풍산,Pungsan,수도권 서해선(대곡-원시),1401,楓山,楓山,,,,,,
106C,백마,Baengma,수도권 서해선(대곡-원시),1402,白馬,白馬,,,,,,
105C,곡산,Goksan,수도권 서해선(대곡-원시),1403,谷山,谷山,,,,,,
103C,대곡,Daegok,수도권 서해선(대곡-원시),1404,大谷,大谷,,,,,,
104C,능곡,Neunggok,수도권 서해선(대곡-원시),1405,陵谷,陵谷,,,,,,
1980,김포공항,Gimpo Int'l Airport,수도권 서해선(대곡-원시),1406,金浦空港,キンポ,,,,,,
1981,원종,Wonjong,수도권 서해선(대곡-원시),1407,遠宗,ウォンジョン,,,,,,
1982,부천종합운동장,Bucheon Stadium,수도권 서해선(대곡-원시),1408,富川綜合運動場,プチョンジョンハブンドンジャン,,,,,,
4804,소사,Sosa,수도권 서해선(대곡-원시),1409,素砂,ソサ,,,,,,
4805,소새울,Sosaeul,수도권 서해선(대곡-원시),1410,素砂屋,ソセウル,,,,,,
4806,시흥대야,Siheung Daeya,수도권 서해선(대곡-원시),1411,始?大也,シフンデヤ,,,,,,
4807,신천,Sincheon,수도권 서해선(대곡-원시),1412,新川,シンチョン(新川)?,,,,,,
4808,신현,Sinhyeon,수도권 서해선(대곡-원시),1413,新?,シンヒョン,,,,,,
4809,시흥시청,Siheung City Hall,수도권 서해선(대곡-원시),1414,始?市?,シフンシチョン,,,,,,
4810,시흥능곡,Siheung Neunggok,수도권 서해선(대곡-원시),1415,始?陵谷,シフンヌンゴク,,,,,,
4811,달미,Dalmi,수도권 서해선(대곡-원시),1416,?美,タルミ,,,,,,
4812,선부,Seonbu,수도권 서해선(대곡-원시),1417,仙府,ソンブ,,,,,,
4813,초지,Choji,수도권 서해선(대곡-원시),1418,草芝,チョジ,,,,,,
4814,시우,Siu,수도권 서해선(대곡-원시),1419,元谷,ウォンゴク,,,,,,
4815,원시,Wonsi,수도권 서해선(대곡-원시),1420,元?,ウォンシ,,,,,,
3110,계양,Gyeyang,인천 1호선,1430,桂?,ケヤン,,,,,,
3111,귤현,Gyulhyeon,인천 1호선,1431,橘?,キュルチョン,,,,,,
3112,박촌,Bakchon,인천 1호선,1432,朴村,パクチョン,,,,,,
3113,임학,Imhak,인천 1호선,1433,林?,イムハク,,,,,,
3114,계산,Gyesan,인천 1호선,1434,桂山,ケサン,,,,,,
3115,경인교대입구,Gyeong-in Nat`l Univ. of Education,인천 1호선,1435,京仁?育大?,キョンインギョデイック,,,,,,
3116,작전,Jakjeon,인천 1호선,1436,?田,チャクチョン,,,,,,
3117,갈산,Galsan,인천 1호선,1437,葛山,カルサン,,,,,,
3118,부평구청,Bupyeong-gu Office,인천 1호선,1438,富平??,プピョングチョン,,,,,,
3119,부평시장,Bupyeong Market,인천 1호선,1439,富平市場,富平市場,,,,,,
3120,부평,Bupyeong,인천 1호선,1440,富平,プピョン,,,,,,
3121,동수,Dongsu,인천 1호선,1441,??,トンス,,,,,,
3122,부평삼거리,Bupyeongsamgeori,인천 1호선,1442,富平丁字路口,プピョンサムゴリ,,,,,,
3123,간석오거리,Ganseogogeori,인천 1호선,1443,?石五?路口,カンソク·オゴリ,,,,,,
3124,인천시청,Incheon City Hall,인천 1호선,1444,仁川市廳,インチョンシチョン,,,,,,
3125,예술회관,Arts Center,인천 1호선,1445,????,イェスルフェグァン,,,,,,
3126,인천터미널,Incheon Bus Terminal,인천 1호선,1446,仁川客?站,インチョンタ?ミナル,,,,,,
3127,문학경기장,Munhak Sports Complex,인천 1호선,1447,文??育?,ムンハク·キョンギジャン,,,,,,
3128,선학,Seonhak,인천 1호선,1448,仙?,ソンハク,,,,,,
3129,신연수,Sinyeonsu,인천 1호선,1449,新延?,シニョンス,,,,,,
3130,원인재,Woninjae,인천 1호선,1450,源仁?,ウァニンジエ,,,,,,
3131,동춘,Dongchun,인천 1호선,1451,?春,トンチュン,,,,,,
3132,동막,Dongmak,인천 1호선,1452,?幕,トンマク,,,,,,
3133,캠퍼스타운,Campus Town,인천 1호선,1453,大?城,キャンパスタウン,,,,,,
3134,테크노파크,Technopark,인천 1호선,1454,科技?,テクノパ?ク,,,,,,
3135,지식정보단지,BIT Zone,인천 1호선,1455,知?信息??,チシク·チョンボダンジ,,,,,,
3136,인천대입구,Incheon Nat'l Univ.,인천 1호선,1456,仁川大?,インチョンデイック,,,,,,
3137,센트럴파크,Central Park,인천 1호선,1457,中央公?,セントラルパ?ク,,,,,,
3138,국제업무지구,Intl. Business District,인천 1호선,1458,??????,ククチェオンムジグ,,,,,,
3139,송도달빛축제공원,Songdo Moonlight Festival Park,인천 1호선,1459,松?月光?典公?,ソンドダルピッチュクチェゴンウォン,,,,,,
3201,검단오류(검단산업단지),Geomdan Oryu,인천 2호선,1460,黔丹梧柳,黔丹梧柳,,,,,,
3202,왕길,Wanggil,인천 2호선,1461,旺吉,旺吉,,,,,,
3203,검단사거리,Geomdan Sageori,인천 2호선,1462,黔丹十字路口,黔丹サゴリ,,,,,,
3204,마전,Majeon,인천 2호선,1463,麻田,麻田,,,,,,
3205,완정,Wanjeong,인천 2호선,1464,完井,完井,,,,,,
3206,독정,Dokjeong,인천 2호선,1465,,,,,,,,
3207,검암,Geomam,인천 2호선,1466,黔岩,黔岩,,,,,,
3208,검바위,Geombawi,인천 2호선,1467,黔石,コムバウィ,,,,,,
3209,아시아드경기장(공촌사거리),Asiad Stadium,인천 2호선,1468,?????,アジア?ド競技場,,,,,,
3210,서구청,Seo-gu Office,인천 2호선,1469,西??,西??,,,,,,
3211,가정(루원시티),Gajeong,인천 2호선,1470,佳亭,佳亭,,,,,,
3212,가정중앙시장,Gajeong Jungang Market,인천 2호선,1471,佳亭中央市?,佳亭中央市場,,,,,,
3213,석남(거북시장),Seongnam,인천 2호선,1472,石南,石南,,,,,,
3214,서부여성회관,West Woman's Community Center,인천 2호선,1473,,,,,,,,
3215,인천가좌,Incheon Gajwa,인천 2호선,1474,,,,,,,,
3216,가재울,Gajaeul,인천 2호선,1475,??溪,カジェウル,,,,,,
3217,주안국가산단(인천J밸리),Juan National Industrial Complex,인천 2호선,1476,朱安?家産?,朱安?家産?,,,,,,
3218,주안,Juan,인천 2호선,1477,朱安,朱安,,,,,,
3219,시민공원(문화창작지대),Citizens Park,인천 2호선,1478,市民公?,市民公園,,,,,,
3220,석바위시장,Seokbawi Market,인천 2호선,1479,石岩市?,ソッバウィ市場,,,,,,
3221,인천시청,Inchon City Hall,인천 2호선,1480,仁川市?,仁川市?,,,,,,
3222,석천사거리,Seokcheon Sageori,인천 2호선,1481,石泉十字路口,石泉サゴリ,,,,,,
